model,dataset,kind,level,mean_ratio,std_ratio,n,mean_ratio_healthy,std_ratio_healthy
CeNN_AMS-Anc,ETTh1,dead,1,1.42090,0.31220,9,0.99825,0.00473
CeNN_AMS-Anc,ETTh1,dead,2,1.80667,0.42452,9,0.99570,0.00612
CeNN_AMS-Anc,ETTh1,gauss,0.1,1.00179,0.00152,9,,
CeNN_AMS-Anc,ETTh1,gauss,0.25,1.01050,0.00786,9,,
CeNN_AMS-Anc,ETTh1,gauss,0.5,1.04606,0.02674,9,,
CeNN_AMS-Anc,ETTh1,gauss,1.0,1.20238,0.09411,9,,
CeNN_AMS-Anc,ETTh1,mask,16,1.06560,0.02211,9,,
CeNN_AMS-Anc,ETTh1,mask,48,1.09439,0.02575,9,,
CeNN_AMS-Anc,ETTh1,mask,96,1.11821,0.02287,9,,
CeNN_AMS-Anc,ETTh1,scale,0.1,1.04141,0.00851,9,,
CeNN_AMS-Anc,ETTh1,scale,0.25,1.18363,0.03047,9,,
CeNN_AMS-Anc,ETTh1,scale,0.5,1.63406,0.09352,9,,
CeNN_AMS-Anc,ETTh1,shift,0.5,1.59033,0.14610,9,,
CeNN_AMS-Anc,ETTh1,shift,1.0,3.61171,0.40075,9,,
CeNN_AMS-Anc,ETTh1,shift,2.0,11.94768,1.25793,9,,
CeNN_AMS-Anc,ETTh1,spike,0.01,1.09058,0.04048,9,,
CeNN_AMS-Anc,ETTh1,spike,0.03,1.28533,0.12305,9,,
CeNN_AMS-Anc,ETTh1,spike,0.05,1.46117,0.19856,9,,
CeNN_AMS-Anc,ETTh2,dead,1,1.47434,0.39439,9,1.00456,0.02090
CeNN_AMS-Anc,ETTh2,dead,2,3.18907,1.07770,9,1.00639,0.02127
CeNN_AMS-Anc,ETTh2,gauss,0.1,1.00353,0.00408,9,,
CeNN_AMS-Anc,ETTh2,gauss,0.25,1.02213,0.01983,9,,
CeNN_AMS-Anc,ETTh2,gauss,0.5,1.09413,0.07019,9,,
CeNN_AMS-Anc,ETTh2,gauss,1.0,1.41810,0.26345,9,,
CeNN_AMS-Anc,ETTh2,mask,16,1.30786,0.16705,9,,
CeNN_AMS-Anc,ETTh2,mask,48,1.37804,0.12050,9,,
CeNN_AMS-Anc,ETTh2,mask,96,1.45334,0.10775,9,,
CeNN_AMS-Anc,ETTh2,scale,0.1,1.12149,0.00974,9,,
CeNN_AMS-Anc,ETTh2,scale,0.25,1.53447,0.07137,9,,
CeNN_AMS-Anc,ETTh2,scale,0.5,2.83996,0.30662,9,,
CeNN_AMS-Anc,ETTh2,shift,0.5,1.71745,0.23197,9,,
CeNN_AMS-Anc,ETTh2,shift,1.0,4.13713,0.78475,9,,
CeNN_AMS-Anc,ETTh2,shift,2.0,14.08317,2.86502,9,,
CeNN_AMS-Anc,ETTh2,spike,0.01,1.23611,0.15011,9,,
CeNN_AMS-Anc,ETTh2,spike,0.03,1.69200,0.43781,9,,
CeNN_AMS-Anc,ETTh2,spike,0.05,2.14008,0.70827,9,,
CeNN_AMS-Anc,ETTm1,dead,1,1.51823,0.37834,9,0.99798,0.00206
CeNN_AMS-Anc,ETTm1,dead,2,1.95912,0.53207,9,0.99728,0.00190
CeNN_AMS-Anc,ETTm1,gauss,0.1,1.00254,0.00171,9,,
CeNN_AMS-Anc,ETTm1,gauss,0.25,1.01651,0.00921,9,,
CeNN_AMS-Anc,ETTm1,gauss,0.5,1.06751,0.03543,9,,
CeNN_AMS-Anc,ETTm1,gauss,1.0,1.26970,0.13684,9,,
CeNN_AMS-Anc,ETTm1,mask,16,1.11100,0.05481,9,,
CeNN_AMS-Anc,ETTm1,mask,48,1.11854,0.05558,9,,
CeNN_AMS-Anc,ETTm1,mask,96,1.12149,0.05421,9,,
CeNN_AMS-Anc,ETTm1,scale,0.1,1.05527,0.00189,9,,
CeNN_AMS-Anc,ETTm1,scale,0.25,1.23655,0.02023,9,,
CeNN_AMS-Anc,ETTm1,scale,0.5,1.80101,0.09455,9,,
CeNN_AMS-Anc,ETTm1,shift,0.5,1.81051,0.12559,9,,
CeNN_AMS-Anc,ETTm1,shift,1.0,4.26740,0.48471,9,,
CeNN_AMS-Anc,ETTm1,shift,2.0,14.12034,1.90379,9,,
CeNN_AMS-Anc,ETTm1,spike,0.01,1.11709,0.05865,9,,
CeNN_AMS-Anc,ETTm1,spike,0.03,1.34499,0.17062,9,,
CeNN_AMS-Anc,ETTm1,spike,0.05,1.56028,0.27953,9,,
CeNN_AMS-Anc,ETTm2,dead,1,1.74101,0.62337,9,0.99386,0.01162
CeNN_AMS-Anc,ETTm2,dead,2,4.20711,1.87551,9,0.98374,0.01628
CeNN_AMS-Anc,ETTm2,gauss,0.1,1.00551,0.00378,9,,
CeNN_AMS-Anc,ETTm2,gauss,0.25,1.03717,0.02719,9,,
CeNN_AMS-Anc,ETTm2,gauss,0.5,1.18032,0.13923,9,,
CeNN_AMS-Anc,ETTm2,gauss,1.0,1.94999,0.76535,9,,
CeNN_AMS-Anc,ETTm2,mask,16,1.68373,0.40196,9,,
CeNN_AMS-Anc,ETTm2,mask,48,1.82554,0.39147,9,,
CeNN_AMS-Anc,ETTm2,mask,96,1.84185,0.35391,9,,
CeNN_AMS-Anc,ETTm2,scale,0.1,1.15861,0.02691,9,,
CeNN_AMS-Anc,ETTm2,scale,0.25,1.73879,0.19651,9,,
CeNN_AMS-Anc,ETTm2,scale,0.5,3.60878,0.82889,9,,
CeNN_AMS-Anc,ETTm2,shift,0.5,2.16098,0.39361,9,,
CeNN_AMS-Anc,ETTm2,shift,1.0,5.69236,1.59397,9,,
CeNN_AMS-Anc,ETTm2,shift,2.0,19.86638,6.41612,9,,
CeNN_AMS-Anc,ETTm2,spike,0.01,1.52808,0.35947,9,,
CeNN_AMS-Anc,ETTm2,spike,0.03,2.54295,1.05879,9,,
CeNN_AMS-Anc,ETTm2,spike,0.05,3.49235,1.72586,9,,
CeNN_AMS-Anc,Weather,dead,1,1.03311,0.04488,9,0.99969,0.00102
CeNN_AMS-Anc,Weather,dead,2,1.12703,0.08892,9,0.99946,0.00199
CeNN_AMS-Anc,Weather,gauss,0.1,1.00368,0.00334,9,,
CeNN_AMS-Anc,Weather,gauss,0.25,1.02036,0.01619,9,,
CeNN_AMS-Anc,Weather,gauss,0.5,1.06461,0.04645,9,,
CeNN_AMS-Anc,Weather,gauss,1.0,1.19280,0.13779,9,,
CeNN_AMS-Anc,Weather,mask,16,1.07953,0.07553,9,,
CeNN_AMS-Anc,Weather,mask,48,1.11965,0.09107,9,,
CeNN_AMS-Anc,Weather,mask,96,1.12420,0.09469,9,,
CeNN_AMS-Anc,Weather,scale,0.1,1.04818,0.00169,9,,
CeNN_AMS-Anc,Weather,scale,0.25,1.20394,0.02438,9,,
CeNN_AMS-Anc,Weather,scale,0.5,1.68200,0.13877,9,,
CeNN_AMS-Anc,Weather,shift,0.5,2.25318,0.32586,9,,
CeNN_AMS-Anc,Weather,shift,1.0,5.69593,1.29080,9,,
CeNN_AMS-Anc,Weather,shift,2.0,19.15019,5.13902,9,,
CeNN_AMS-Anc,Weather,spike,0.01,1.07618,0.05534,9,,
CeNN_AMS-Anc,Weather,spike,0.03,1.21278,0.15600,9,,
CeNN_AMS-Anc,Weather,spike,0.05,1.35217,0.25501,9,,
CeNN_C1C2-Skip-K2,ETTh1,dead,1,1.44433,0.41512,9,1.03102,0.10374
CeNN_C1C2-Skip-K2,ETTh1,dead,2,1.87322,0.53704,9,1.11430,0.28503
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.1,0.99961,0.00175,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.25,1.00639,0.00798,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.5,1.03753,0.02911,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,1.0,1.15773,0.06163,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,16,1.06823,0.02374,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,48,1.07608,0.02010,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,96,1.11411,0.01722,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.1,1.04903,0.00703,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.25,1.19879,0.00987,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.5,1.65163,0.03331,9,,
