model,dataset,kind,level,mean_ratio,std_ratio,n,mean_ratio_healthy,std_ratio_healthy
CeNN_AMS-Anc,ETTh1,dead,1,1.36252,0.35386,9,0.99929,0.00404
CeNN_AMS-Anc,ETTh1,dead,2,1.61247,0.41895,9,0.99431,0.00706
CeNN_AMS-Anc,ETTh1,gauss,0.1,1.00111,0.00158,9,,
CeNN_AMS-Anc,ETTh1,gauss,0.25,1.00887,0.00808,9,,
CeNN_AMS-Anc,ETTh1,gauss,0.5,1.04272,0.02707,9,,
CeNN_AMS-Anc,ETTh1,gauss,1.0,1.19495,0.09430,9,,
CeNN_AMS-Anc,ETTh1,mask,16,1.06725,0.02190,9,,
CeNN_AMS-Anc,ETTh1,mask,48,1.09072,0.03107,9,,
CeNN_AMS-Anc,ETTh1,mask,96,1.11945,0.03619,9,,
CeNN_AMS-Anc,ETTh1,scale,0.1,1.04141,0.00851,9,,
CeNN_AMS-Anc,ETTh1,scale,0.25,1.18363,0.03047,9,,
CeNN_AMS-Anc,ETTh1,scale,0.5,1.63406,0.09352,9,,
CeNN_AMS-Anc,ETTh1,shift,0.5,1.59033,0.14610,9,,
CeNN_AMS-Anc,ETTh1,shift,1.0,3.61171,0.40075,9,,
CeNN_AMS-Anc,ETTh1,shift,2.0,11.94768,1.25793,9,,
CeNN_AMS-Anc,ETTh1,spike,0.01,1.09327,0.03955,9,,
CeNN_AMS-Anc,ETTh1,spike,0.03,1.28302,0.12309,9,,
CeNN_AMS-Anc,ETTh1,spike,0.05,1.45370,0.20056,9,,
CeNN_AMS-Anc,ETTh2,dead,1,2.28392,0.92001,9,0.99791,0.02039
CeNN_AMS-Anc,ETTh2,dead,2,3.13957,1.07030,9,0.99348,0.02900
CeNN_AMS-Anc,ETTh2,gauss,0.1,1.00252,0.00368,9,,
CeNN_AMS-Anc,ETTh2,gauss,0.25,1.01933,0.01891,9,,
CeNN_AMS-Anc,ETTh2,gauss,0.5,1.08798,0.06831,9,,
CeNN_AMS-Anc,ETTh2,gauss,1.0,1.40460,0.25822,9,,
CeNN_AMS-Anc,ETTh2,mask,16,1.29791,0.18434,9,,
CeNN_AMS-Anc,ETTh2,mask,48,1.32750,0.17315,9,,
CeNN_AMS-Anc,ETTh2,mask,96,1.39486,0.12688,9,,
CeNN_AMS-Anc,ETTh2,scale,0.1,1.12149,0.00974,9,,
CeNN_AMS-Anc,ETTh2,scale,0.25,1.53447,0.07137,9,,
CeNN_AMS-Anc,ETTh2,scale,0.5,2.83996,0.30662,9,,
CeNN_AMS-Anc,ETTh2,shift,0.5,1.71745,0.23197,9,,
CeNN_AMS-Anc,ETTh2,shift,1.0,4.13713,0.78475,9,,
CeNN_AMS-Anc,ETTh2,shift,2.0,14.08317,2.86502,9,,
CeNN_AMS-Anc,ETTh2,spike,0.01,1.24879,0.16203,9,,
CeNN_AMS-Anc,ETTh2,spike,0.03,1.69455,0.44136,9,,
CeNN_AMS-Anc,ETTh2,spike,0.05,2.10864,0.68564,9,,
CeNN_AMS-Anc,ETTm1,dead,1,1.42610,0.42044,9,0.99914,0.00084
CeNN_AMS-Anc,ETTm1,dead,2,1.74084,0.52060,9,0.99639,0.00155
CeNN_AMS-Anc,ETTm1,gauss,0.1,1.00285,0.00150,9,,
CeNN_AMS-Anc,ETTm1,gauss,0.25,1.01717,0.00877,9,,
CeNN_AMS-Anc,ETTm1,gauss,0.5,1.06851,0.03446,9,,
CeNN_AMS-Anc,ETTm1,gauss,1.0,1.27098,0.13472,9,,
CeNN_AMS-Anc,ETTm1,mask,16,1.11627,0.05044,9,,
CeNN_AMS-Anc,ETTm1,mask,48,1.12102,0.05201,9,,
CeNN_AMS-Anc,ETTm1,mask,96,1.12256,0.05439,9,,
CeNN_AMS-Anc,ETTm1,scale,0.1,1.05527,0.00189,9,,
CeNN_AMS-Anc,ETTm1,scale,0.25,1.23655,0.02023,9,,
CeNN_AMS-Anc,ETTm1,scale,0.5,1.80101,0.09455,9,,
CeNN_AMS-Anc,ETTm1,shift,0.5,1.81051,0.12559,9,,
CeNN_AMS-Anc,ETTm1,shift,1.0,4.26740,0.48471,9,,
CeNN_AMS-Anc,ETTm1,shift,2.0,14.12034,1.90379,9,,
CeNN_AMS-Anc,ETTm1,spike,0.01,1.11494,0.05664,9,,
CeNN_AMS-Anc,ETTm1,spike,0.03,1.34368,0.17317,9,,
CeNN_AMS-Anc,ETTm1,spike,0.05,1.57217,0.28510,9,,
CeNN_AMS-Anc,ETTm2,dead,1,2.90008,1.44303,9,0.99287,0.01554
CeNN_AMS-Anc,ETTm2,dead,2,4.19272,1.90635,9,0.97498,0.02389
CeNN_AMS-Anc,ETTm2,gauss,0.1,1.00519,0.00460,9,,
CeNN_AMS-Anc,ETTm2,gauss,0.25,1.03644,0.02865,9,,
CeNN_AMS-Anc,ETTm2,gauss,0.5,1.17932,0.14132,9,,
CeNN_AMS-Anc,ETTm2,gauss,1.0,1.94866,0.76945,9,,
CeNN_AMS-Anc,ETTm2,mask,16,1.69882,0.43368,9,,
CeNN_AMS-Anc,ETTm2,mask,48,1.78116,0.39816,9,,
CeNN_AMS-Anc,ETTm2,mask,96,1.80952,0.36831,9,,
CeNN_AMS-Anc,ETTm2,scale,0.1,1.15861,0.02691,9,,
CeNN_AMS-Anc,ETTm2,scale,0.25,1.73879,0.19651,9,,
CeNN_AMS-Anc,ETTm2,scale,0.5,3.60878,0.82889,9,,
CeNN_AMS-Anc,ETTm2,shift,0.5,2.16098,0.39361,9,,
CeNN_AMS-Anc,ETTm2,shift,1.0,5.69236,1.59397,9,,
CeNN_AMS-Anc,ETTm2,shift,2.0,19.86638,6.41612,9,,
CeNN_AMS-Anc,ETTm2,spike,0.01,1.52450,0.35548,9,,
CeNN_AMS-Anc,ETTm2,spike,0.03,2.53169,1.06236,9,,
CeNN_AMS-Anc,ETTm2,spike,0.05,3.50994,1.73683,9,,
CeNN_AMS-Anc,Weather,dead,1,1.08911,0.08766,9,1.00052,0.00072
CeNN_AMS-Anc,Weather,dead,2,1.12931,0.10902,9,1.00057,0.00106
CeNN_AMS-Anc,Weather,gauss,0.1,1.00308,0.00332,9,,
CeNN_AMS-Anc,Weather,gauss,0.25,1.01904,0.01631,9,,
CeNN_AMS-Anc,Weather,gauss,0.5,1.06232,0.04685,9,,
CeNN_AMS-Anc,Weather,gauss,1.0,1.18855,0.13877,9,,
CeNN_AMS-Anc,Weather,mask,16,1.08420,0.07526,9,,
CeNN_AMS-Anc,Weather,mask,48,1.11513,0.09035,9,,
CeNN_AMS-Anc,Weather,mask,96,1.12616,0.09630,9,,
CeNN_AMS-Anc,Weather,scale,0.1,1.04818,0.00169,9,,
CeNN_AMS-Anc,Weather,scale,0.25,1.20394,0.02438,9,,
CeNN_AMS-Anc,Weather,scale,0.5,1.68200,0.13877,9,,
CeNN_AMS-Anc,Weather,shift,0.5,2.25318,0.32586,9,,
CeNN_AMS-Anc,Weather,shift,1.0,5.69593,1.29080,9,,
CeNN_AMS-Anc,Weather,shift,2.0,19.15019,5.13902,9,,
CeNN_AMS-Anc,Weather,spike,0.01,1.07392,0.05427,9,,
CeNN_AMS-Anc,Weather,spike,0.03,1.21311,0.15612,9,,
CeNN_AMS-Anc,Weather,spike,0.05,1.34342,0.25792,9,,
CeNN_C1C2-Skip-K2,ETTh1,dead,1,1.35795,0.36966,9,1.00951,0.04997
CeNN_C1C2-Skip-K2,ETTh1,dead,2,1.57672,0.42963,9,1.03751,0.07894
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.1,0.99951,0.00345,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.25,1.00978,0.01057,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,0.5,1.04607,0.03127,9,,
CeNN_C1C2-Skip-K2,ETTh1,gauss,1.0,1.17484,0.07065,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,16,1.07330,0.01708,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,48,1.08721,0.03040,9,,
CeNN_C1C2-Skip-K2,ETTh1,mask,96,1.11109,0.04103,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.1,1.04903,0.00703,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.25,1.19879,0.00987,9,,
CeNN_C1C2-Skip-K2,ETTh1,scale,0.5,1.65163,0.03331,9,,
CeNN_C1C2-Skip-K2,ETTh1,shift,0.5,1.48268,0.15809,9,,
CeNN_C1C2-Skip-K2,ETTh1,shift,1.0,3.30800,0.49430,9,,
CeNN_C1C2-Skip-K2,ETTh1,shift,2.0,10.98652,1.71902,9,,
CeNN_C1C2-Skip-K2,ETTh1,spike,0.01,1.52570,0.52855,9,,
CeNN_C1C2-Skip-K2,ETTh1,spike,0.03,1.65779,0.48945,9,,
CeNN_C1C2-Skip-K2,ETTh1,spike,0.05,1.75368,0.50385,9,,
CeNN_C1C2-Skip-K2,ETTh2,dead,1,2.19093,0.78872,9,1.20109,0.14525
CeNN_C1C2-Skip-K2,ETTh2,dead,2,4.21849,2.38142,9,2.05087,0.95040
